Name,Profile URL,Employees,Total Raised
Facebook,https://angel.co/facebook,5000+,16012000000
Uber,https://angel.co/uber,5000+,12252450000
Lyft,https://angel.co/lyft,201-500,2612500000
Sprinklr,https://angel.co/sprinklr,201-500,2028500000
SoFi,https://angel.co/sofi-1,501-1000,1712200000
Spotify,https://angel.co/spotify,1001-5000,1421640000
SoundCloud,https://angel.co/soundcloud,201-500,1280000000
Cruise Automation,https://angel.co/cruise-automation,51-200,1018800000
DraftKings,https://angel.co/draftkings,11-50,849400000
Jawbone,https://angel.co/jawbone,201-500,778629000
Avant,https://angel.co/avant-1,501-1000,704000000
BrightRoll,https://angel.co/brightroll,201-500,690200000
Cisco Umbrella ,https://angel.co/opendns,201-500,686260000
Crunchyroll,https://angel.co/crunchyroll,51-200,604800000
Dropcam,https://angel.co/dropcam,51-200,602800000
Zenefits,https://angel.co/zenefits,501-1000,583600000
Loggly,https://angel.co/loggly,11-50,555370000
Instacart,https://angel.co/instacart,51-200,374800000
Meitu,https://angel.co/meitu,501-1000,370000000
Houzz,https://angel.co/houzz,1001-5000,363600000
Wayfair,https://angel.co/wayfair,501-1000,358000000
GetTaxi (Gett in USA),https://angel.co/gettaxi-gett-in-usa,201-500,357000000
Tanium,https://angel.co/tanium,201-500,356812500
Trunk Club,https://angel.co/trunk-club,1001-5000,350000000
Stripe,https://angel.co/stripe,501-1000,343000000
DAQRI,https://angel.co/daqri,51-200,330000000
CloudLock,https://angel.co/cloudlock,"",327900000
Postmates,https://angel.co/postmates,201-500,326750000
Opendoor,https://angel.co/opendoor,201-500,319950000
Flatiron Health,https://angel.co/flatiron-health,201-500,313000000
Blue Apron,https://angel.co/blue-apron,51-200,293000000
JustFab,https://angel.co/justfab,201-500,289000000
Simplivity,https://angel.co/simplivity,11-50,276000000
Thumbtack,https://angel.co/thumbtack,51-200,273200000
LendUp,https://angel.co/lendup,201-500,261500000
MuleSoft,https://angel.co/mulesoft,501-1000,258500000
Vox Media,https://angel.co/vox-media,201-500,246500000
AppDirect,https://angel.co/appdirect,201-500,246000000
Zuora,https://angel.co/zuora,201-500,242500000
Bleacher Report ,https://angel.co/bleacher-report,51-200,240500000
Anaplan,https://angel.co/anaplan,201-500,231400000
Fotolia,https://angel.co/fotolia,51-200,225000000
DoorDash,https://angel.co/doordash,51-200,221700000
Tradeshift,https://angel.co/tradeshift,201-500,218999996
SmartThings,https://angel.co/smartthings,51-200,215500000
New Relic,https://angel.co/new-relic,1-10,214500000
Active Network,https://angel.co/active-network-1,1001-5000,213900000
Nextdoor,https://angel.co/nextdoor,51-200,210200000
Onshape,https://angel.co/onshape,51-200,208000000
Actifio,https://angel.co/actifio,51-200,207500000
Metromile,https://angel.co/metromile,51-200,205500000
Betterment,https://angel.co/betterment,51-200,205000000
Eventbrite,https://angel.co/eventbrite,201-500,202600000
Sumo Logic,https://angel.co/sumo-logic,201-500,200000000
Vroom.com,https://angel.co/vroomcars,11-50,199000000
Compass,https://angel.co/compass-8,201-500,198000000
Coursera,https://angel.co/coursera,201-500,195500000
Joule,https://angel.co/joule,51-200,190000000
Cloudflare,https://angel.co/cloudflare,201-500,182050000
RetailNext,https://angel.co/retailnext,51-200,182000000
Cyanogen,https://angel.co/cyanogen-6,51-200,180000000
Quirky,https://angel.co/quirky,51-200,175345000
Zymergen,https://angel.co/zymergen,51-200,174000000
Udemy,https://angel.co/udemy,201-500,173000000
Bash Gaming,https://angel.co/bash-gaming,51-200,171000000
Kannact,https://angel.co/kannact,1-10,166500000
Pluralsight,https://angel.co/pluralsight,201-500,165000000
1-Page ,https://angel.co/1-page,11-50,163000000
Docker,https://angel.co/docker-3,201-500,160800000
Planet,https://angel.co/planet-labs,51-200,158000000
BigCommerce,https://angel.co/bigcommerce,201-500,155000000
Care.com,https://angel.co/care,501-1000,154850000
Rent the Runway,https://angel.co/rent-the-runway,201-500,154400000
Optoro,https://angel.co/optoro,51-200,152900000
Freshdesk,https://angel.co/freshdesk,201-500,149000000
Datadog,https://angel.co/datadog,51-200,147900000
General Assembly,https://angel.co/general-assembly,201-500,144250000
Taulia,https://angel.co/taulia,201-500,142800000
Udacity,https://angel.co/udacity,201-500,140000000
Bright,https://angel.co/bright,"",140000000
App Annie,https://angel.co/app-annie,201-500,140000000
Via,https://angel.co/via-10,51-200,137100000
Chef,https://angel.co/chef-2,51-200,137000000
Kareo,https://angel.co/kareo,201-500,135900000
Medium,https://angel.co/medium,51-200,132000000
Netskope,https://angel.co/netskope,201-500,131000000
Anaqua,https://angel.co/anaqua,201-500,129000000
Carbon Black,https://angel.co/carbonblack,501-1000,123150000
Whistle,https://angel.co/whistle-labs,51-200,121000000
Ionic Security,https://angel.co/ionic-security,1-10,120000500
"Hampton Creek, Inc. ",https://angel.co/hampton-creek-inc,51-200,120000000
Mesosphere,https://angel.co/mesosphere,201-500,120000000
Rethink Robotics,https://angel.co/rethink-robotics,"",119600000
OfferUp,https://angel.co/offerup,51-200,119000000
Fancy,https://angel.co/fancy,51-200,117400000
Munchery,https://angel.co/munchery,51-200,117210000
Affirmed Networks,https://angel.co/affirmed-networks,51-200,117000000
Tremor Video,https://angel.co/tremor-video,201-500,116400000
TransferWise,https://angel.co/transferwise,501-1000,116368040
Applause,https://angel.co/applause,201-500,115800000
